"source","target","correlation"
"1","30",0.99807038477956
"3","5",0.956944224185229
"4","30",0.985438232634735
"4","31",0.963415187927408
"6","31",0.953072449606896
"7","47",0.969710344878249
"7","59",0.98622444817102
"7","70",0.976469763561447
"8","30",0.992172684753612
"9","22",0.970258042744722
"9","59",0.978334319990685
"11","45",0.990909201545475
"15","31",0.970935924505302
"18","28",0.98664854587649
"23","30",0.963730299183662
"23","45",0.951716844826888
"24","9",0.962592424129692
"26","30",0.998609258296688
"27","30",0.951751142038865
"30","64",0.952557447635744
"30","83",0.953540094858919
"33","45",0.970192375860485
"34","41",0.977124598242667
"38","30",0.961532406656329
"38","57",0.972396036546867
"39","30",0.96981047075993
"40","54",0.958566066253799
"43","42",0.950803255947926
"47","30",0.952340212276989
"47","31",0.983324896836067
"48","1",0.973698650628627
"48","8",0.958725161903765
"48","20",0.957654680390708
"48","23",0.952760538057452
"48","68",0.963446059232802
"49","69",0.981779859132449
"51","9",0.952156269777606
"51","34",0.955557065461512
"51","89",0.956991380200367
"53","64",0.952295178030726
"63","9",0.974156293534094
"64","2",0.99311707066811
"64","13",0.962157807711726
"64","26",0.951431757096709
"67","1",0.951641594234739
"67","27",0.950237863767025
"67","43",0.958578058545132
"68","24",0.997872102814532
"68","65",0.962630875981431
"71","28",0.961562858550801
"73","24",0.987601758340308
"74","81",0.983539770362324
"78","43",0.962217048560991
"83","87",0.959167393814997
"86","47",0.950804607394473
"86","54",0.957907436319142
"86","59",0.957044805528271
"86","70",0.974889979852892
"89","47",0.957795645321435
"90","7",0.991306036792798
"93","34",0.979195215311599
"93","89",0.965531810541669
"33","36",-0.972938650824664
"37","78",-0.985773120430371
"46","19",-0.979929723629657
"46","26",-0.962230006902302
"52","86",-0.986973460447083
"60","58",-0.966938670673835
"76","36",-0.958648565800931
