"source","target","correlation"
"2","29",0.954297913629592
"3","14",0.998346637060539
"4","42",0.988823549937626
"4","47",0.988484022908577
"7","29",0.990290854309396
"7","68",0.950837546781965
"9","26",0.955260953238651
"9","45",0.979315171236976
"9","58",0.992671520608446
"11","29",0.985689653140221
"11","68",0.966301409737749
"15","42",0.953545468017615
"15","57",0.988840259692643
"15","68",0.989667908142129
"16","29",0.977185024012253
"16","42",0.954323954020891
"16","68",0.973414792793856
"17","29",0.983829147811419
"21","14",0.968019326743599
"24","31",0.959867229427803
"24","77",0.987477715652943
"25","91",0.963209643425315
"29","78",0.965123724483584
"31","45",0.961015170047694
"31","58",0.964771615348323
"36","76",0.990014001497525
"39","29",0.995289335498097
"39","68",0.96168551271285
"44","82",0.951541066704474
"47","95",0.987211996513714
"61","31",0.960057573998296
"61","79",0.971632624853234
"66","24",0.995190789655949
"66","50",0.963557718880812
"67","36",0.96385789929898
"68","78",0.990080750188667
"69","63",0.967125656833789
"73","42",0.97260590173305
"73","47",0.989095518607748
"77","17",0.961285438095448
"77","26",0.969098538132447
"77","45",0.990300424627416
"77","58",0.990873528124039
"78","4",0.957923388056601
"78","11",0.993570751775433
"78","18",0.964474864748015
"78","60",0.99680417331127
"78","64",0.992544586229682
"80","15",0.961264797080029
"82","83",0.951336347685863
"88","9",0.981485304198999
"91","90",0.985747896592185
"94","26",0.980425522567044
"2","52",-0.989912023753302
"11","52",-0.951008914679824
"16","52",-0.99530329503425
"22","71",-0.957741343805114
"32","20",-0.964002272113121
"32","47",-0.953753853036351
"36","8",-0.994106587230081
"36","21",-0.951473295247256
"39","52",-0.969176712538469
"50","85",-0.962907534384682
"56","74",-0.952130210371534
"70","90",-0.97305577779633
"93","24",-0.986800936617132
"95","33",-0.951317582711447
