"source","target","correlation"
"2","29",0.992565376001268
"2","51",0.960622750175003
"2","80",0.959437677141157
"7","20",0.961524172072289
"8","93",0.950842815190111
"11","29",0.991445513119546
"11","51",0.964977186017258
"11","80",0.952491266313617
"13","29",0.995497969822945
"13","51",0.968159335701178
"13","80",0.960667884450042
"17","36",0.958940780354174
"18","78",0.968238584979265
"21","17",0.985451068021625
"21","77",0.983637275894785
"23","4",0.952197862527892
"24","8",0.951773025687791
"33","94",0.97147657318565
"40","73",0.957740883068237
"41","29",0.972875393908341
"44","52",0.969799819734139
"46","65",0.972030040117226
"48","75",0.958916090526727
"49","64",0.979071874564031
"49","84",0.957650249827252
"50","8",0.980923257304569
"50","28",0.955013019852238
"50","49",0.974585073430071
"52","49",0.952382243353804
"53","8",0.982846265194295
"54","51",0.965753502903828
"57","42",0.985191053080232
"57","50",0.958215951771051
"57","77",0.952128470655098
"58","21",0.995181383450874
"58","86",0.979586235751934
"62","51",0.977529161486272
"62","80",0.957137908992272
"64","3",0.968824667998671
"64","9",0.985194113307822
"69","11",0.963428633881239
"71","53",0.95774212620963
"71","54",0.95277701799513
"71","56",0.958154604762483
"71","59",0.97761434212452
"75","47",0.975501119320792
"75","94",0.954668486700907
"76","24",0.967508768362957
"76","53",0.993243161714276
"81","34",0.979624287838275
"83","11",0.962331881665985
"84","38",0.954696295700546
"85","7",0.959931065683484
"88","17",0.957354360316783
"88","77",0.976284122085173
"1","43",-0.964240529248648
"3","43",-0.969281819296172
"27","31",-0.981027223079241
"29","62",-0.955720095072647
"34","40",-0.973900315171194
"37","48",-0.969791258823339
"49","62",-0.988996599702036
"66","66",-0.955189728690701
"75","82",-0.963314153065086
"84","43",-0.987818854846986
"92","87",-0.971352956592328
"93","6",-0.964544565571835
"93","35",-0.957014914908237
