"source","target","correlation"
"6","77",0.988506627620994
"8","78",0.962343211919639
"13","55",0.953380051159079
"16","52",0.957553727219349
"19","93",0.980018888538141
"20","52",0.976763468842435
"22","58",0.955858241871348
"26","55",0.950357513989291
"27","55",0.966993185547652
"27","72",0.971200213127011
"32","22",0.994027986125876
"37","12",0.956169936950093
"39","77",0.953946445109413
"42","55",0.966359475465657
"55","44",0.957620282184954
"56","81",0.972057097497218
"64","20",0.982221862720862
"67","90",0.951960080955665
"72","32",0.956643388997099
"72","69",0.969474520611683
"82","63",0.954638099112081
"87","43",0.964081047929667
"7","77",-0.953363178326138
"79","63",-0.975870270266091
"79","68",-0.959975513253478
"88","23",-0.981670886892729
