"source","target","correlation"
"1","36",0.981629640948395
"1","58",0.965955242542078
"1","70",0.989558477958793
"2","36",0.972050432160174
"2","58",0.975133355803248
"2","70",0.986399685603307
"2","77",0.958423861635036
"3","16",0.969729339227881
"3","82",0.980611659369359
"9","36",0.979497113668596
"9","57",0.959537490963938
"9","58",0.978984200250916
"9","70",0.956015448260498
"10","36",0.997030398920047
"10","58",0.979864545981483
"10","70",0.956722026334809
"14","36",0.980422895126246
"15","36",0.950445711250799
"15","57",0.98170748292459
"15","58",0.969505210499663
"16","36",0.965413515347282
"16","58",0.986309519326166
"18","36",0.976222588341768
"18","58",0.982094192457118
"18","70",0.984905015589441
"18","77",0.957445875538285
"21","82",0.963394819816545
"24","58",0.953894895517288
"24","67",0.950509614533738
"24","77",0.968268152619031
"30","76",0.998100824493905
"30","93",0.985392446874511
"34","77",0.951893918676451
"36","91",0.991995611113708
"37","38",0.970041647702263
"39","15",0.959193380492703
"40","36",0.956669440496183
"40","58",0.952883926319905
"42","67",0.970188696106885
"42","77",0.979601610349119
"45","67",0.980168998087735
"45","77",0.981459085923117
"47","76",0.994124158792798
"47","93",0.967369050940898
"51","36",0.987592835219929
"51","58",0.959754430895452
"53","58",0.958424930527388
"61","36",0.996524096560189
"61","58",0.980379989296407
"61","70",0.981659864190555
"63","76",0.971448371234407
"63","93",0.976309935419568
"66","36",0.954510973955068
"67","91",0.977283374862997
"68","3",0.986678625848939
"70","91",0.957892003583459
"71","36",0.97932211791841
"72","33",0.985870756123658
"72","43",0.979060190316138
"73","91",0.956195078756476
"75","30",0.996705099143036
"75","78",0.981985109331509
"76","16",0.96147053777734
"76","29",0.956209946242525
"76","82",0.998758966810218
"80","1",0.951798877794227
"80","9",0.971026531298155
"80","18",0.951671884749291
"80","24",0.958804367010179
"80","92",0.967904434880777
"89","16",0.989009581019788
"89","45",0.961182717406755
"91","2",0.979015358810891
"91","10",0.972275369356208
"91","28",0.960783435466985
"91","72",0.99950567970223
"91","94",0.96685317814398
"94","30",0.959523706849477
"26","69",-0.977797363133574
"28","69",-0.956391164716943
"29","64",-0.965387770888481
"30","65",-0.952933849491858
"47","65",-0.954456494420426
"52","83",-0.978075683526661
"60","6",-0.969468172467253
"92","68",-0.959791342657388
