"source","target","correlation"
"2","54",0.959035762287252
"3","61",0.956142019945056
"6","65",0.966757308014871
"8","69",0.954278777045471
"9","25",0.950100394110809
"18","43",0.98602482172542
"19","25",0.964245788812208
"21","58",0.962791641522452
"21","89",0.950458799758591
"23","57",0.968768759005735
"24","77",0.969060495319123
"26","68",0.992026368559736
"26","88",0.979720796407002
"27","25",0.963109943019425
"27","32",0.964722692716312
"27","61",0.952188507474069
"27","65",0.989818902225904
"28","55",0.962548107984105
"29","86",0.958005798941646
"33","25",0.976847680703291
"33","65",0.956048184456363
"37","16",0.950547890326353
"41","68",0.983946732576387
"41","88",0.973599235003696
"43","88",0.966288580262051
"44","25",0.9842220884917
"44","65",0.969962940609748
"52","15",0.951963994207231
"52","19",0.955753042464439
"52","30",0.983946743036059
"53","81",0.956842380249729
"55","70",0.983312912889813
"60","43",0.957965628344306
"63","19",0.954877071667258
"63","30",0.971668553982463
"65","16",0.987765918329376
"68","89",0.950397868021524
"70","16",0.955859917375771
"71","39",0.988666003331382
"86","89",0.956032253313255
"31","5",-0.953991896447985
"48","79",-0.960181707144236
"62","29",-0.952221632586008
"69","23",-0.955198654741848
"71","28",-0.963290008845625
