"source","target","correlation"
"5","16",0.965946680609451
"6","68",0.970414702973731
"12","79",0.979081016743536
"14","12",0.985443458737198
"16","26",0.954445130499659
"18","50",0.963235905285116
"22","44",0.955644895132541
"23","66",0.974112620251804
"24","12",0.965669174572709
"24","67",0.962261542364991
"29","92",0.956793370409254
"30","76",0.964776357695065
"33","38",0.979833672786335
"36","80",0.957022731799276
"41","91",0.956915563750209
"48","73",0.973871515113068
"50","12",0.978174742976745
"50","67",0.956500031366483
"51","64",0.961423650763282
"55","74",0.965279053428655
"58","66",0.958808686058881
"66","64",0.977352405514727
"72","23",0.952975981525569
"72","76",0.957088395913634
"73","24",0.996010614948296
"77","21",0.954231034229368
"85","88",0.959711501229321
"3","74",-0.964297074932418
"29","61",-0.967489332906283
"33","45",-0.953257830365015
"44","70",-0.971993180691583
"60","24",-0.952544629403771
"61","9",-0.992721705179866
"66","7",-0.97016231963651
"72","77",-0.968549720023477
"85","16",-0.964260471720776
"85","68",-0.977883841522078
"93","15",-0.984685250702262
"95","62",-0.95615601384677
