"source","target","correlation"
"2","71",0.978274122044852
"3","40",0.951884682803196
"4","25",0.980916402155983
"4","63",0.973429661318828
"6","32",0.987178821660301
"6","40",0.954712516273635
"6","52",0.95926250973683
"6","69",0.988479384623138
"6","75",0.984970423758029
"8","93",0.959569763804847
"9","18",0.970140135348324
"12","55",0.965216393808241
"12","76",0.969467713455672
"12","78",0.952092428844817
"15","18",0.963028210719602
"17","3",0.957153023073344
"17","7",0.97424289741425
"17","10",0.954759270652318
"25","76",0.991479596690673
"25","78",0.967288153619578
"27","18",0.953613959148288
"29","74",0.952464486083301
"31","32",0.954414768780291
"31","72",0.960777706611024
"37","9",0.961139146158474
"47","13",0.976287577516705
"47","22",0.967604000522028
"57","55",0.963584893816538
"57","76",0.972121271628285
"57","88",0.957400201318369
"58","30",0.970079432855378
"61","44",0.964330707431342
"63","88",0.985315035526172
"66","48",0.951636438236153
"68","63",0.96571445208382
"71","17",0.987916011869951
"72","17",0.979482253424082
"73","25",0.979980815269683
"73","63",0.980671153925452
"73","83",0.973141947213918
"76","93",0.957515885834574
"80","52",0.974131746739643
"80","75",0.96832708997607
"85","37",0.958426299628763
"90","71",0.974328261056612
"91","84",0.988909973426168
"7","56",-0.959321209925451
"9","51",-0.993534245933182
"11","5",-0.959524315762813
"15","51",-0.968172224086223
"27","51",-0.965796309997651
"30","23",-0.952200293744667
"35","51",-0.956747589618165
"37","11",-0.973733309203836
"46","81",-0.950385431873206
"50","89",-0.986831398368127
"65","56",-0.965784821008251
"79","60",-0.98686803592543
"82","23",-0.964365243353446
"87","33",-0.955736543680039
"92","83",-0.95861163505564
