"source","target","correlation"
"3","74",0.970266455135754
"7","30",0.978137786823443
"7","74",0.969928813727682
"10","20",0.95580635734957
"12","24",0.955771845957267
"22","20",0.97042439669811
"26","44",0.96833130609182
"26","76",0.953020497698391
"30","20",0.975492046893363
"31","15",0.951641841721437
"32","76",0.981893981080863
"34","88",0.95790205436445
"45","44",0.952221121829149
"54","30",0.9851300684984
"56","8",0.950553068101511
"56","11",0.98783075300473
"56","38",0.982281949743315
"56","54",0.973175082373833
"56","91",0.983348113202997
"58","70",0.952066261840573
"69","26",0.973053731104512
"74","82",0.95165464651513
"75","83",0.96719529981723
"82","7",0.964649182069299
"82","11",0.970212859566817
"82","23",0.956966480898937
"82","38",0.993973404262684
"82","54",0.986880936791334
"82","91",0.980307481019863
"85","90",0.976127804027956
"87","75",0.987051244238784
"90","59",0.950794805504977
"7","43",-0.954631480438516
"7","84",-0.957644588745351
"8","24",-0.9780420816343
"10","24",-0.973354008222053
"19","17",-0.989704815663678
"20","47",-0.970687108529859
"30","24",-0.950583620936712
"30","61",-0.958233801090551
"34","63",-0.953414245862752
"35","24",-0.974905606450144
"39","45",-0.965629275282389
"39","47",-0.9596223395954
"39","50",-0.965056998650056
"46","77",-0.981344924935711
"54","84",-0.969656682171742
"56","9",-0.979642285411915
"68","65",-0.952033094177766
"71","42",-0.970273471468148
"71","48",-0.963122807943606
"71","67",-0.957855357950496
"77","82",-0.985805238258364
"82","9",-0.975939972597435
"83","71",-0.969963928538525
"95","3",-0.951161775368277
