"source","target","correlation"
"2","74",0.951896242418652
"5","69",0.951910624373058
"11","27",0.976501653083432
"12","80",0.977390343784969
"13","71",0.956938838425258
"13","93",0.959890706385029
"15","39",0.981903663170065
"15","72",0.958994528425166
"18","8",0.957207138460754
"18","30",0.964367984976128
"18","72",0.981157785229053
"20","80",0.951052573599585
"21","84",0.962252016402938
"23","42",0.983380109891302
"27","71",0.989855904557424
"27","79",0.990573356850702
"31","84",0.962567149827734
"31","89",0.971157189672753
"32","43",0.97378091332237
"32","84",0.991755622658206
"32","89",0.987520503263886
"38","53",0.951727703789352
"47","23",0.976201519355553
"48","84",0.990322633506184
"48","89",0.980753217116659
"51","27",0.969879756229392
"57","3",0.953776979600375
"57","8",0.986981245177845
"58","71",0.960164712861408
"58","79",0.96010856303789
"59","84",0.981238590811957
"59","89",0.962345434758214
"61","61",0.955118704395194
"64","40",0.96852018570182
"66","23",0.973957196719431
"71","69",0.986083606057971
"78","27",0.994106174242677
"79","42",0.957062026933368
"79","53",0.975277803586904
"80","69",0.955770247038541
"87","71",0.982337403895108
"87","79",0.962884539959245
"91","84",0.978784705041882
"91","89",0.979391420797234
"94","3",0.97646555121418
"94","8",0.959316605330716
"94","11",0.962481023427733
"94","26",0.956262210065137
"94","31",0.97055387563609
"94","37",0.958566506006759
"15","12",-0.965406075768131
"15","20",-0.989286267743051
"18","25",-0.97114554209863
"29","12",-0.954116970891082
"29","20",-0.968409904805116
"36","20",-0.962266395643077
"41","56",-0.954960680417072
"53","13",-0.972576156630271
"90","83",-0.970659757524964
